"Time","J2"
1610867400000,0.3138666666666667
1610867700000,0.40320000000000006
1610868000000,0.4851666666666667
1610868300000,0.46616666666666656
1610868600000,0.5381
1610868900000,0.5517
1610869200000,0.5168
1610869500000,0.5377333333333334
1610869800000,0.5086666666666667
1610870100000,0.5522666666666665
1610870400000,0.5393928571428571
1610870700000,0.4813793103448275
1610871000000,0.5016774193548387
1610871300000,0.4533448275862069
1610871600000,0.46776666666666666
1610871900000,0.4356333333333335
1610872200000,0.453
1610872500000,0.49413333333333337
1610872800000,0.5214333333333333
1610873100000,0.4892666666666667
1610873400000,0.5385000000000002
1610873700000,0.43560000000000004
1610874000000,0.3908
1610874300000,0.36343333333333333
1610874600000,0.397
1610874900000,0.41503333333333337
1610875200000,0.4665666666666667
1610875500000,0.47610344827586215
1610875800000,0.6037666666666667
1610876100000,0.6473333333333334
1610876400000,0.6054333333333334
1610876700000,0.5917
1610877000000,0.5736666666666667
1610877300000,0.5892333333333333
1610877600000,0.6040333333333333
1610877900000,0.6329666666666668
1610878200000,0.6599666666666668
1610878500000,0.7072999999999999
1610878800000,0.7272666666666666
1610879100000,0.6819666666666667
1610879400000,0.6386
1610879700000,0.6538333333333333
1610880000000,0.6597333333333333
1610880300000,0.7354999999999999
1610880600000,0.7483333333333334
1610880900000,0.7150357142857143
1610881200000,0.639
1610881500000,0.6822333333333334
1610881800000,0.7045000000000001
1610882100000,0.6444666666666666
1610882400000,0.6418666666666667
1610882700000,0.6395000000000001
1610883000000,0.6867666666666666
1610883300000,0.6337
